date,capacity,turnover,change,transaction,open,high,low,close
2024-03-27,4644158,730810486,0.05,5803,157.4,157.85,156.9,157.65
2024-03-28,3438375,539015594,-0.75,7097,157.3,157.3,155.9,156.9
2024-03-29,8255237,1302182597,1.0,7944,156.9,158.4,156.9,157.9
2024-04-01,5727780,904051439,-0.5,9814,158.2,158.75,157.25,157.4
2024-04-02,7924481,1261718566,2.25,11341,158.45,159.65,158.4,159.65
2024-04-03,5042947,799119313,-1.1,10098,158.65,158.9,157.8,158.55
2024-04-08,6124837,976164820,0.9,12306,158.65,159.85,158.55,159.45
2024-04-09,9043462,1465418271,3.8,15355,160.0,163.35,159.9,163.25
2024-04-10,5731265,933773619,-0.25,12106,162.75,163.3,162.45,163.0
2024-04-11,4677727,758087448,-0.5,9606,162.05,162.5,161.65,162.5
2024-04-12,6129174,994740991,-0.4,7404,162.6,162.8,161.95,162.1
2024-04-15,8727145,1397288443,-2.1,20071,160.25,160.55,159.6,160.0
2024-04-16,18674686,2914071977,-4.35,39767,158.3,158.3,154.75,155.65
2024-04-17,8077871,1267652543,1.75,10186,155.95,157.7,155.9,157.4
2024-04-18,6903163,1087753112,1.55,8741,156.35,158.95,155.8,158.95
2024-04-19,33785973,5120010612,-8.05,63456,154.1,154.15,149.5,150.9
2024-04-22,9992734,1505959931,-0.45,18339,150.4,151.75,149.7,150.45
2024-04-23,5718650,868908321,1.45,7971,152.15,152.45,151.3,151.9
2024-04-24,8082060,1258539965,4.45,9579,154.0,156.5,154.0,156.35
2024-04-25,5279800,811673254,-2.85,13893,154.1,154.45,153.25,153.5
2024-04-26,6054296,945852784,2.5,7970,156.0,156.8,155.5,156.0
2024-04-29,8135962,1289630787,2.8,10501,157.3,159.1,157.3,158.8
2024-04-30,4792141,761950562,-0.55,6586,158.6,159.35,158.25,158.25
2024-05-02,6666498,1042279767,-2.1,12625,157.35,157.35,156.0,156.15
2024-05-03,5935465,936184397,0.8,6876,158.55,158.65,156.45,156.95
2024-05-06,9032607,1441651437,2.25,12931,159.0,160.15,159.0,159.2
2024-05-07,6699483,1072604883,0.9,9146,160.25,160.55,159.5,160.1
2024-05-08,6345930,1017586029,0.6,7563,160.0,160.8,159.65,160.7
2024-05-09,5285856,850455689,-0.2,5952,160.75,161.25,160.4,160.5
2024-05-10,10192376,1644984436,1.15,11494,161.25,162.1,160.55,161.65
2024-05-13,9642900,1576521176,1.65,12460,163.35,163.9,162.95,163.3
2024-05-14,8291028,1358012114,1.1,9897,163.2,164.45,162.7,164.4
2024-05-15,15243403,2541851885,2.25,18162,165.6,167.85,165.5,166.65
2024-05-16,12586120,2119619590,0.8,12459,168.95,169.75,167.1,167.45
2024-05-17,5039743,842406145,-0.2,8291,167.55,167.7,166.7,167.25
2024-05-20,7278652,1212643672,-0.05,13023,167.25,167.4,165.3,167.2
2024-05-21,4588315,764313254,-0.2,6790,166.4,167.15,165.85,167.0
2024-05-22,6928097,1171910569,3.0,10448,167.2,170.0,167.2,170.0
2024-05-23,6656188,1137393249,1.3,11169,170.3,171.45,170.0,171.3
2024-05-24,3877932,660238032,-0.7,6487,169.3,170.8,169.3,170.6
2024-05-27,6149922,1062472354,2.35,12001,171.75,173.4,171.75,172.95
2024-05-28,5835433,1009317540,0.25,8245,172.95,173.4,172.5,173.2
2024-05-29,7402741,1268475158,-2.35,14406,172.45,172.5,170.55,170.85
2024-05-30,10376879,1745935737,-2.95,23558,168.0,169.0,167.7,167.9
2024-05-31,9114336,1525397907,-1.9,18205,168.25,168.9,166.0,166.0
2024-06-03,9475689,1600550183,3.55,12509,168.65,169.75,167.3,169.55
2024-06-04,8753452,1465081642,-2.7,18696,168.75,168.75,166.5,166.85
2024-06-05,4935163,827016285,1.6,11328,167.4,168.8,166.15,168.45
2024-06-06,18069198,3139162083,5.75,19789,172.75,174.6,172.65,174.2
